L.p;Wnioskodawca ;"Przewozy kolejowe osób
numer licencji";"Przewozy kolejowe osób 
status ";"Przewozy kolejowe rzeczy
numer licencji";"Przewozy kolejowe rzeczy
status";"Œwiadczenie us³ug trakcyjnych
numer licencji";"Œwiadczenie us³ug trakcyjnych
status"
1;"Agnieszka Dolata prowadz¹ca dzia³alnoœæ gospodarcz¹ pod firm¹ ""¯wirowania DOLATA""""Beton DOLATA"" Agnieszka Dolata";;;L/058/2018;aktywna;;
2;Alfa Logistik sp. z o.o.;;;L/104/2021;aktywna;;
3;Alusta S.A.;;;L/096/2020;aktywna;L/096/2020;aktywna
4;Alza Cargo sp. z o.o.;;;L/049/2017;aktywna;L/049/2017;aktywna
5;ARRIVA RP sp. z o.o.;L/011/2016;aktywna;;;L/011/2016;aktywna
6;Bahnoperator Polska sp. z o.o.;;;L/094/2020;aktywna;L/094/2020;aktywna
7;BARTER S.A.;;;L/066/2019;aktywna;L/066/2019;aktywna
8;Bartex sp. z o.o.;;;WPR/192/2010;aktywna;;
9;Bartex Plus sp. z o.o.  ;;;L/030/2016;aktywna;;
10;Budimex Kolejnictwo S.A.;;;L/047/2017;aktywna;L/047/2017;aktywna
11;B.R.S. sp. z o.o.;;;L/020/2016;aktywna;;
12;Captrain Polska sp. z o.o.;;;L/070/2019;aktywna;L/070/2019;aktywna
13;Cargo Master sp. z o.o.;L/045/2017;aktywna;L/045/2017;aktywna;L/045/2017;aktywna
14;Cargo - Polska sp. z o.o.;L/005/2015;aktywna;L/005/2015;aktywna;L/005/2015;aktywna
15;Cargo - Power sp. z o.o.;;;L/105/2021;aktywna;L/105/2021;aktywna
16;CARGO Przewozy Towarowe, Transport sp. z o.o. sp. k.;L/016/2016;aktywna;L/016/2016;aktywna;L/016/2016;aktywna
17;CD Cargo Poland sp. z o.o.;;;L/024/2016;aktywna;L/024/2016;aktywna
18;Cedrob Cargo sp. z o.o. ;;;L/076/2019;aktywna;;
19;Cemet S.A.;;;WPR/137/2006;aktywna;;
20;Centrum Logistyczne w £osoœnej sp. z o.o.;;;WPR/212/2012;aktywna;UPT/213/2012;aktywna
21;CIECH Cargo sp. z o.o.;;;WPR/008/2003;aktywna;UPT/099/2005;aktywna
22;CL Cargo Logistics sp. z o.o.;;;L/071/2019;aktywna;L/071/2019;aktywna
23;Clip Intermodal sp. z o.o.;;;L/090/2020;aktywna;L/090/2020;aktywna
24;Cognor S.A.;;;L/073/2019;aktywna;;
25;Colas Rail Polska sp. z o.o.;;;L/025/2016;aktywna;;
26;CTL Logistics sp. z o.o.;;;L/043/2017;aktywna;L/043/2017;aktywna
27;CTL Pó³noc sp. z o.o.;;;WPR/101/2005;aktywna;UPT/102/2005;aktywna
28;DB Cargo Polska S.A.;;;L/019/2016;aktywna;L/019/2016;aktywna
29;DB Cargo Spedkol sp. z o.o.;;;L/015/2016;aktywna;L/015/2016;aktywna
30;Dolnoœl¹skie Linie Autobusowe sp. z o.o.;WPO/127/2005;aktywna;WPR/179/2009;aktywna;UPT/180/2009;aktywna
31;Dolnoœl¹skie Przedsiêbiorstwo Napraw Infrastruktury Komunikacyjnej DOLKOM sp. z o.o.;;;WPR/116/2005;aktywna;;
32;ECCO Rail sp. z o.o.;;;L/013/2016;aktywna;L/013/2016;aktywna
33;Enea Bioenergia sp. z o.o.;;;L/099/2021;aktywna;;
34;Eurasian Railway Carrier sp. z o.o.;;;L/056/2018;aktywna;L/056/2018;aktywna
35;EUROTRANS sp. z o.o.;;;WPR/226/2013;aktywna;;
36;Damian ¯ur prowadz¹cy dzia³alnoœæ gospodarcz¹ pod nazw¹ FDM-REW Damian ¯ur;;;L/078/2019;aktywna;L/078/2019;aktywna
37;Freightliner PL sp. z. o .o.;L/017/2016;aktywna;L/017/2016;aktywna;L/017/2016;aktywna
38;Fundacja Polskich Kolei W¹skotorowych;WPO/113/2005;aktywna;;;;
39;GB Rail sp. z o.o.;;;L/095/2020;aktywna;L/095/2020;aktywna
40;G&G Train Polska sp. z o.o. sp.k.;;;L/092/2020;aktywna;L/092/2020;aktywna
41;GT Rail Sp. z o.o.;;;L/072/2019;aktywna;L/072/2019;aktywna
42;Grupa Azoty „KOLTAR” sp. z o.o.;;;WPR/095/2005;aktywna;UPT/096/2005;aktywna
43;HSL Polska sp. z o.o.;;;L/069/2019;aktywna;L/069/2019;aktywna
44;IGL sp. z o.o. sp.k;;;L/088/2020;aktywna;L/088/2020;aktywna
45;Inter Cargo sp. z o.o.;;;L/040/2017;aktywna;L/040/2017;aktywna
46;IRT sp. z o.o.;;;L/065/2019;aktywna;L/065/2019;aktywna
47;JSW Logistics sp. z o.o.;;;L/050/2018;aktywna;L/050/2018;aktywna
48;"""Karpiel"" sp. z o.o.";;;L/074/2019;aktywna;L/074/2019;aktywna
49;„Kolej Ba³tycka” S.A.  ;;;L/022/2016;aktywna;L/022/2016;aktywna
50;Koleje Dolnoœl¹skie S.A.;L/009/2016;aktywna;;;L/009/2016;aktywna
51;„Koleje Mazowieckie – KM”  sp. z o.o.;WPO/084/2004;aktywna;WPR/085/2004;aktywna;UPT/086/2004;aktywna
52;Koleje Ma³opolskie sp. z o.o.;WPO/236/2014;aktywna;;;UPT/237/2014;aktywna
53;Koleje Œl¹skie sp. z o.o.;L/041/2017;aktywna;;;;
